epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.706,1.4329,2.26394,1.88976,0.63651,0.35955,0.4466,0.20854,2.01165,3.21929,2.57557,0.000655556,0.000655556,0.000655556
2,559.948,1.47519,1.86781,1.9132,0.36529,0.51732,0.39023,0.17466,1.97661,3.3617,2.51514,0.00129604,0.00129604,0.00129604
3,839.9,1.52152,1.73102,1.94343,0.5951,0.52809,0.56169,0.19312,2.10384,2.26189,2.70507,0.00191013,0.00191013,0.00191013
4,1120.06,1.51326,1.58799,1.96053,0.58061,0.603,0.61961,0.24364,2.11343,1.86647,2.53851,0.0018812,0.0018812,0.0018812
5,1401.67,1.50262,1.48864,1.90374,0.61288,0.55144,0.58664,0.24512,1.87007,1.87382,2.38091,0.0018416,0.0018416,0.0018416
6,1683.2,1.49545,1.46946,1.93084,0.62567,0.30337,0.32086,0.15037,2.73904,2.27179,3.12429,0.001802,0.001802,0.001802
7,1965.38,1.43002,1.39286,1.86762,0.65091,0.59925,0.60747,0.21511,2.0839,1.69792,2.61718,0.0017624,0.0017624,0.0017624
8,2247.85,1.38532,1.33128,1.80574,0.73812,0.6779,0.73898,0.36032,1.76265,1.44525,2.2035,0.0017228,0.0017228,0.0017228
9,2532.84,1.3935,1.30834,1.80947,0.69638,0.69288,0.71341,0.33894,1.76107,1.6567,2.19609,0.0016832,0.0016832,0.0016832
10,2816.6,1.37659,1.27896,1.78727,0.79794,0.70037,0.78689,0.4058,1.68,1.33157,2.12385,0.0016436,0.0016436,0.0016436
11,3100.61,1.36091,1.28763,1.79246,0.65995,0.71161,0.72153,0.35529,1.78241,1.43279,2.07919,0.001604,0.001604,0.001604
12,3384.91,1.28531,1.2111,1.73513,0.69721,0.6779,0.73734,0.36766,1.68619,1.4786,2.10056,0.0015644,0.0015644,0.0015644
13,3669.38,1.27594,1.1957,1.71678,0.69649,0.77903,0.78757,0.41192,1.66611,1.45258,2.04397,0.0015248,0.0015248,0.0015248
14,3954.21,1.27891,1.16895,1.73866,0.75616,0.72285,0.77433,0.36348,1.88572,1.33924,2.21283,0.0014852,0.0014852,0.0014852
15,4238.26,1.24323,1.18149,1.6855,0.75131,0.78074,0.80299,0.41177,1.67678,1.24997,2.00096,0.0014456,0.0014456,0.0014456
16,4522.47,1.2649,1.15137,1.71246,0.7758,0.74157,0.77133,0.43295,1.5953,1.28569,1.94514,0.001406,0.001406,0.001406
17,4806.9,1.25063,1.17072,1.69006,0.85153,0.73033,0.80562,0.40652,1.68314,1.25186,2.02297,0.0013664,0.0013664,0.0013664
18,5092.72,1.21661,1.12389,1.65997,0.79434,0.75225,0.80763,0.45458,1.52152,1.20378,1.85619,0.0013268,0.0013268,0.0013268
19,5376.63,1.21349,1.09212,1.68302,0.81555,0.76177,0.8396,0.46618,1.55069,1.14557,1.86787,0.0012872,0.0012872,0.0012872
20,5661.54,1.1746,1.12667,1.6255,0.88517,0.76779,0.82099,0.48527,1.55979,1.36151,1.93085,0.0012476,0.0012476,0.0012476
21,5947.05,1.18972,1.08194,1.63621,0.74527,0.7603,0.79401,0.47027,1.52045,1.16081,1.8387,0.001208,0.001208,0.001208
22,6233.63,1.17135,1.05386,1.61332,0.76972,0.73861,0.77982,0.46956,1.45347,1.13752,1.80468,0.0011684,0.0011684,0.0011684
23,6518.23,1.16101,1.08811,1.62604,0.79819,0.72585,0.77624,0.44043,1.62644,1.29123,1.94663,0.0011288,0.0011288,0.0011288
24,6803.06,1.1523,1.04843,1.6118,0.81581,0.77154,0.8199,0.50729,1.44528,1.1461,1.75102,0.0010892,0.0010892,0.0010892
25,7089.42,1.13906,1.05261,1.58575,0.84917,0.7603,0.82403,0.47964,1.47123,1.14277,1.81508,0.0010496,0.0010496,0.0010496
26,7374.35,1.13825,1.04201,1.58515,0.82146,0.76779,0.81778,0.47786,1.5608,1.10595,1.90395,0.00101,0.00101,0.00101
27,7659.67,1.11546,1.01022,1.58145,0.86328,0.74157,0.83484,0.53892,1.40939,1.05969,1.7082,0.0009704,0.0009704,0.0009704
28,7945.02,1.13539,1.00655,1.5856,0.82583,0.79912,0.84086,0.51927,1.39312,1.10436,1.69557,0.0009308,0.0009308,0.0009308
29,8229.73,1.10133,0.98899,1.54582,0.81016,0.79026,0.83134,0.49631,1.45399,1.05198,1.79899,0.0008912,0.0008912,0.0008912
30,8514.23,1.08865,0.96027,1.56816,0.85862,0.75062,0.82539,0.52999,1.34933,1.00266,1.66608,0.0008516,0.0008516,0.0008516
