epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.129,1.41774,2.22594,1.8911,0.55313,0.44672,0.51455,0.18017,1.85751,3.11226,2.67212,0.000654971,0.000654971,0.000654971
2,553.003,1.47329,1.85463,1.92968,0.59276,0.62705,0.60305,0.26933,1.87703,2.56654,2.81727,0.00129547,0.00129547,0.00129547
3,823.588,1.51279,1.69766,1.92858,0.52208,0.47458,0.48563,0.19059,2.18508,3.77094,3.15414,0.00190957,0.00190957,0.00190957
4,1099.07,1.50702,1.60766,1.9419,0.62198,0.46311,0.47297,0.18066,2.39245,2.01604,3.14047,0.0018812,0.0018812,0.0018812
5,1395.09,1.47827,1.54365,1.91774,0.80554,0.69605,0.76016,0.31704,2.10229,1.63973,2.66449,0.0018416,0.0018416,0.0018416
6,1700.64,1.47207,1.49249,1.92411,0.65498,0.63934,0.64305,0.25396,2.10924,1.76141,2.56453,0.001802,0.001802,0.001802
7,2002.07,1.41578,1.40229,1.86643,0.76192,0.78697,0.80376,0.3849,1.82947,1.3858,2.28159,0.0017624,0.0017624,0.0017624
8,2303.65,1.40028,1.32373,1.85048,0.77383,0.77049,0.80482,0.41035,1.76701,1.4188,2.38479,0.0017228,0.0017228,0.0017228
9,2611.83,1.40693,1.33736,1.84419,0.7232,0.77869,0.79512,0.41197,1.8064,1.32898,2.40823,0.0016832,0.0016832,0.0016832
10,2933.38,1.40208,1.24625,1.80372,0.85785,0.77459,0.82163,0.41647,1.84847,1.45233,2.27346,0.0016436,0.0016436,0.0016436
11,3251.79,1.37642,1.2899,1.80669,0.78132,0.76146,0.80148,0.37372,1.95899,1.413,2.35955,0.001604,0.001604,0.001604
12,3568.32,1.36162,1.2683,1.7969,0.78608,0.78313,0.82013,0.41306,1.82168,1.36496,2.25708,0.0015644,0.0015644,0.0015644
13,3871.33,1.29931,1.22332,1.73436,0.87307,0.79508,0.8721,0.51858,1.59828,1.13109,1.94493,0.0015248,0.0015248,0.0015248
14,4153.06,1.28737,1.15489,1.73329,0.76027,0.81148,0.83136,0.42818,1.80441,1.44496,2.17662,0.0014852,0.0014852,0.0014852
15,4429.09,1.28331,1.17776,1.73182,0.77636,0.61475,0.7344,0.41228,1.63738,1.48468,2.04456,0.0014456,0.0014456,0.0014456
16,4704.78,1.25825,1.16124,1.70347,0.81792,0.73642,0.79511,0.4232,1.82516,1.4054,2.17572,0.001406,0.001406,0.001406
17,4977.86,1.26082,1.20138,1.70811,0.79395,0.79508,0.83881,0.46032,1.64922,1.25699,2.03445,0.0013664,0.0013664,0.0013664
18,5253,1.20744,1.15703,1.67054,0.84353,0.79537,0.84475,0.48272,1.65145,1.39018,1.98306,0.0013268,0.0013268,0.0013268
19,5526.95,1.20767,1.10084,1.66071,0.83049,0.8032,0.87474,0.50425,1.59248,1.08376,2.01184,0.0012872,0.0012872,0.0012872
20,5807.34,1.20949,1.08912,1.68445,0.8675,0.70902,0.81542,0.49194,1.59679,1.21447,2.06418,0.0012476,0.0012476,0.0012476
21,6085.91,1.17482,1.07253,1.64337,0.90208,0.79098,0.85384,0.4919,1.64485,1.1552,2.03855,0.001208,0.001208,0.001208
22,6365.6,1.19234,1.07011,1.64228,0.9054,0.84016,0.88736,0.55167,1.58729,0.99503,2.02538,0.0011684,0.0011684,0.0011684
23,6646.55,1.17207,1.08261,1.6288,0.87734,0.85246,0.89266,0.55248,1.49212,1.06739,1.85457,0.0011288,0.0011288,0.0011288
24,6926.33,1.16776,1.0962,1.6393,0.82101,0.78279,0.85798,0.51691,1.51027,1.0535,1.86956,0.0010892,0.0010892,0.0010892
25,7206.67,1.1427,1.04799,1.61394,0.85588,0.82787,0.86308,0.48179,1.70574,1.07584,2.09373,0.0010496,0.0010496,0.0010496
26,7485.29,1.13155,1.00217,1.60414,0.91885,0.83525,0.88525,0.57133,1.42284,0.91947,1.84515,0.00101,0.00101,0.00101
27,7763.75,1.13118,1.00152,1.58341,0.81335,0.83197,0.86629,0.54492,1.46084,1.01613,1.82244,0.0009704,0.0009704,0.0009704
28,8048.97,1.12944,0.9988,1.59436,0.90304,0.83976,0.88232,0.53548,1.54473,1.05275,1.88957,0.0009308,0.0009308,0.0009308
29,8330.99,1.11234,0.98013,1.59948,0.85421,0.77869,0.86319,0.53405,1.53292,1.0594,1.86898,0.0008912,0.0008912,0.0008912
30,8612.17,1.09428,0.94905,1.56592,0.91267,0.81384,0.88384,0.54876,1.44874,0.99526,1.83496,0.0008516,0.0008516,0.0008516
31,8893.11,1.1131,1.00091,1.58334,0.83426,0.84582,0.88424,0.56531,1.4151,1.04181,1.8325,0.000812,0.000812,0.000812
32,9175.45,1.06976,0.94751,1.5436,0.8948,0.79508,0.87641,0.58103,1.33636,1.0255,1.6948,0.0007724,0.0007724,0.0007724
33,9458.2,1.05288,0.88938,1.5439,0.87924,0.77585,0.84576,0.5032,1.551,1.10613,1.89976,0.0007328,0.0007328,0.0007328
34,9767.84,1.06044,0.91868,1.54572,0.92507,0.82787,0.89108,0.57382,1.41371,1.07891,1.77115,0.0006932,0.0006932,0.0006932
35,10051,1.05196,0.90819,1.53466,0.91201,0.84962,0.90692,0.60065,1.25199,0.86746,1.63974,0.0006536,0.0006536,0.0006536
36,10330.6,1.04316,0.90428,1.53849,0.9154,0.84257,0.90481,0.59857,1.26123,0.87774,1.62957,0.000614,0.000614,0.000614
37,10609.7,1.03579,0.90707,1.53741,0.89647,0.86475,0.89648,0.60753,1.27147,0.94924,1.63769,0.0005744,0.0005744,0.0005744
38,10887.5,1.01026,0.885,1.49908,0.88004,0.87192,0.90712,0.63729,1.21769,0.87926,1.61009,0.0005348,0.0005348,0.0005348
39,11169,1.01862,0.88505,1.5054,0.91456,0.83352,0.8949,0.58846,1.35504,0.98875,1.69183,0.0004952,0.0004952,0.0004952
40,11449.8,1.00528,0.86184,1.50454,0.91374,0.86825,0.90635,0.60764,1.35636,0.90963,1.72005,0.0004556,0.0004556,0.0004556
41,11744.4,0.88185,0.67768,1.51869,0.91,0.84836,0.90921,0.61354,1.37223,0.93096,1.71871,0.000416,0.000416,0.000416
42,12062.4,0.88308,0.66488,1.52011,0.91478,0.85656,0.90658,0.62227,1.30396,0.89902,1.68122,0.0003764,0.0003764,0.0003764
43,12371.6,0.87884,0.64738,1.51526,0.89716,0.85811,0.90184,0.62436,1.29299,0.86294,1.65368,0.0003368,0.0003368,0.0003368
44,12682.4,0.87422,0.64891,1.49241,0.92238,0.85656,0.92228,0.6551,1.19064,0.84452,1.58298,0.0002972,0.0002972,0.0002972
45,13004.3,0.8345,0.6258,1.49916,0.93681,0.84426,0.91988,0.62721,1.26933,0.87018,1.63489,0.0002576,0.0002576,0.0002576
46,13323.5,0.83679,0.61087,1.48066,0.92046,0.86475,0.91978,0.6446,1.18779,0.85412,1.60344,0.000218,0.000218,0.000218
47,13648.3,0.82575,0.60316,1.45383,0.93252,0.86475,0.9264,0.6787,1.14817,0.83103,1.55999,0.0001784,0.0001784,0.0001784
48,13970.4,0.82503,0.62782,1.47237,0.91688,0.87295,0.92119,0.62339,1.24248,0.86651,1.61352,0.0001388,0.0001388,0.0001388
49,14303.2,0.80019,0.60312,1.4747,0.91883,0.85656,0.92662,0.6597,1.17035,0.86056,1.55509,9.92e-05,9.92e-05,9.92e-05
50,14584,0.82038,0.60976,1.44904,0.91521,0.88469,0.92598,0.63769,1.21479,0.85517,1.58943,5.96e-05,5.96e-05,5.96e-05
