epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,755.018,1.52514,2.13343,1.94953,0.38419,0.51311,0.32198,0.12107,2.46705,2.6012,3.16392,0.000655556,0.000655556,0.000655556
2,1507.69,1.66211,1.62499,2.03939,0.47094,0.3633,0.35541,0.13759,2.56637,5.00311,3.67351,0.00129604,0.00129604,0.00129604
3,2262,1.68834,1.59904,2.06418,0.4823,0.35241,0.34548,0.13574,2.36026,2.36024,2.84294,0.00191013,0.00191013,0.00191013
4,3016.48,1.62717,1.52913,2.03944,0.25588,0.30337,0.14158,0.04478,2.77295,2.94126,3.59617,0.0018812,0.0018812,0.0018812
5,3769.89,1.58649,1.44401,1.97885,0.4959,0.49813,0.45881,0.16291,2.24149,2.21043,2.48285,0.0018416,0.0018416,0.0018416
6,4526.18,1.57659,1.48624,1.98582,0.43289,0.37451,0.31045,0.11305,2.34411,2.76374,2.7375,0.001802,0.001802,0.001802
7,5318.6,1.50083,1.40613,1.92848,0.48381,0.60027,0.53934,0.24368,1.93807,2.31344,2.30844,0.0017624,0.0017624,0.0017624
8,6075.09,1.44518,1.34894,1.85629,0.56797,0.6779,0.62954,0.26816,1.99756,1.61842,2.30477,0.0017228,0.0017228,0.0017228
9,6825.02,1.44581,1.35393,1.85032,0.7237,0.63766,0.66729,0.3062,1.99745,1.62122,2.364,0.0016832,0.0016832,0.0016832
10,7575.18,1.41765,1.33605,1.82949,0.68641,0.68539,0.65931,0.33837,1.86664,1.48096,2.25614,0.0016436,0.0016436,0.0016436
11,8331.25,1.43454,1.31414,1.86064,0.74177,0.5618,0.68186,0.34104,1.82342,1.5165,2.19253,0.001604,0.001604,0.001604
12,9095.87,1.39452,1.26105,1.81701,0.65872,0.69399,0.75284,0.3731,1.7219,1.34368,2.139,0.0015644,0.0015644,0.0015644
13,9864.32,1.34195,1.21684,1.77119,0.703,0.65543,0.68871,0.31498,1.91962,1.61086,2.27126,0.0015248,0.0015248,0.0015248
14,10617.6,1.36203,1.22557,1.79639,0.68643,0.69663,0.72593,0.33523,1.97509,1.48498,2.28251,0.0014852,0.0014852,0.0014852
15,11368.4,1.31275,1.21637,1.72109,0.75686,0.70412,0.74009,0.3649,1.84202,1.31108,2.1967,0.0014456,0.0014456,0.0014456
16,12118.9,1.32899,1.20163,1.76639,0.72061,0.69552,0.74767,0.37769,1.84832,1.28974,2.21431,0.001406,0.001406,0.001406
17,12874.5,1.29509,1.22403,1.73171,0.72124,0.70738,0.76933,0.39967,1.67177,1.29741,2.05934,0.0013664,0.0013664,0.0013664
18,13627.9,1.26669,1.16949,1.71327,0.6902,0.72659,0.74238,0.35353,1.83564,1.44659,2.23422,0.0013268,0.0013268,0.0013268
19,14380.8,1.25155,1.1469,1.7031,0.85727,0.77154,0.8279,0.46469,1.60743,1.12335,1.95165,0.0012872,0.0012872,0.0012872
20,15136.9,1.25068,1.13224,1.67749,0.84439,0.74157,0.83068,0.43446,1.69039,1.2065,2.08142,0.0012476,0.0012476,0.0012476
21,15890.6,1.25636,1.13502,1.68449,0.80611,0.70074,0.78656,0.4276,1.6263,1.22122,1.9934,0.001208,0.001208,0.001208
22,16644.7,1.23693,1.10567,1.66677,0.79451,0.77528,0.82361,0.49302,1.49266,1.11837,1.83093,0.0011684,0.0011684,0.0011684
23,17398.3,1.22189,1.10266,1.66577,0.90051,0.74578,0.80709,0.44362,1.67417,1.17323,1.96218,0.0011288,0.0011288,0.0011288
24,18151.7,1.19101,1.07276,1.64312,0.82941,0.70787,0.80807,0.43602,1.67052,1.1397,1.98293,0.0010892,0.0010892,0.0010892
25,18906.3,1.19598,1.06899,1.63091,0.8564,0.67011,0.74294,0.3721,1.8668,1.37292,2.24749,0.0010496,0.0010496,0.0010496
26,19659,1.1635,1.05166,1.6157,0.84869,0.77727,0.83708,0.50011,1.49078,1.06281,1.90184,0.00101,0.00101,0.00101
27,20411.9,1.1712,1.03512,1.63017,0.82565,0.79812,0.82732,0.4946,1.48222,1.069,1.80638,0.0009704,0.0009704,0.0009704
28,21164.5,1.17328,1.02644,1.62269,0.82762,0.79119,0.83844,0.49795,1.46438,1.11233,1.79449,0.0009308,0.0009308,0.0009308
29,21918.6,1.14279,1.0112,1.585,0.76808,0.76779,0.79901,0.4598,1.55227,1.0667,1.88592,0.0008912,0.0008912,0.0008912
30,22672,1.14413,1.0065,1.61237,0.764,0.75281,0.79448,0.47232,1.52448,1.09895,1.86267,0.0008516,0.0008516,0.0008516
31,23424.7,1.14005,0.9851,1.60252,0.88651,0.73408,0.82343,0.50915,1.50841,1.0412,1.81122,0.000812,0.000812,0.000812
32,24185.5,1.11873,0.98686,1.58867,0.84,0.78651,0.82961,0.50521,1.47808,1.01708,1.80872,0.0007724,0.0007724,0.0007724
33,24942.6,1.10914,0.97034,1.57133,0.80721,0.79026,0.81079,0.47873,1.54978,1.02889,1.92755,0.0007328,0.0007328,0.0007328
34,25696.9,1.11164,0.92494,1.59009,0.84978,0.7603,0.82685,0.46291,1.60334,1.08326,1.92157,0.0006932,0.0006932,0.0006932
35,26449.9,1.08839,0.94251,1.58059,0.84772,0.7923,0.85675,0.52559,1.40773,0.97349,1.75013,0.0006536,0.0006536,0.0006536
36,27202.7,1.07395,0.94175,1.5462,0.81545,0.79401,0.82754,0.53995,1.31704,0.96328,1.69826,0.000614,0.000614,0.000614
37,27956,1.07571,0.91824,1.54605,0.82639,0.76779,0.82784,0.54062,1.34055,0.99194,1.68066,0.0005744,0.0005744,0.0005744
38,28709,1.071,0.91126,1.54553,0.87387,0.7785,0.85952,0.55893,1.32348,0.93689,1.68179,0.0005348,0.0005348,0.0005348
39,29461,1.07707,0.89533,1.53715,0.86966,0.79965,0.86856,0.55604,1.32844,0.93269,1.67246,0.0004952,0.0004952,0.0004952
40,30213.7,1.07315,0.91304,1.53103,0.88249,0.77903,0.86105,0.56001,1.31469,0.93145,1.65284,0.0004556,0.0004556,0.0004556
41,30964.7,0.9163,0.69106,1.54534,0.85892,0.78277,0.84234,0.52718,1.35159,0.95199,1.69085,0.000416,0.000416,0.000416
42,31715.1,0.91161,0.6618,1.55537,0.83924,0.78277,0.84575,0.55611,1.26756,0.92586,1.60768,0.0003764,0.0003764,0.0003764
43,32465.6,0.92232,0.66372,1.54103,0.89207,0.77393,0.85354,0.57006,1.25245,0.89627,1.60362,0.0003368,0.0003368,0.0003368
44,33219.8,0.86051,0.63638,1.49596,0.90183,0.79026,0.85712,0.57521,1.2486,0.90114,1.59598,0.0002972,0.0002972,0.0002972
45,33972.8,0.881,0.65833,1.52885,0.89704,0.81578,0.86174,0.54435,1.33937,0.94593,1.66463,0.0002576,0.0002576,0.0002576
46,34723.8,0.88226,0.64027,1.51748,0.89784,0.77154,0.85,0.58156,1.25062,0.92276,1.57421,0.000218,0.000218,0.000218
47,35476.4,0.84692,0.62679,1.48283,0.88518,0.80524,0.85967,0.5665,1.27375,0.9015,1.59145,0.0001784,0.0001784,0.0001784
48,36221.7,0.85133,0.62012,1.49423,0.89738,0.79026,0.85582,0.57561,1.20675,0.87808,1.54191,0.0001388,0.0001388,0.0001388
49,36972.6,0.86354,0.62615,1.49295,0.89013,0.78893,0.85419,0.59209,1.16719,0.87186,1.52569,9.92e-05,9.92e-05,9.92e-05
50,37722.5,0.82183,0.60451,1.46614,0.88842,0.79775,0.85401,0.59384,1.15997,0.85852,1.51828,5.96e-05,5.96e-05,5.96e-05
